sentence,entities
শরৎচন্দ্র চট্টোপাধ্যায় এর নতুন বই শঙ্খনীল কারাগার এর প্রি-অর্ডার অর্ডার-7964 চলছে।,"{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'bookname': 'শঙ্খনীল কারাগার', 'orderno': 'অর্ডার-7964'}"
শাওমি এর গল্প পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'শাওমি', 'categoryname': 'গল্প'}"
"জাহিদ হাসান 20/06/2024 তারিখে মোহাম্মদপুর, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'জাহিদ হাসান', 'date': '20/06/2024', 'address': 'মোহাম্মদপুর, ঢাকা'}"
কাস্টমার আইডি আইডি-72340 এর ০১৮55440902 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-72340', 'phoneno': '০১৮55440902'}"
সৈয়দ শামসুল হক এর নতুন বই আমি বীরাঙ্গনা বলছি এর প্রি-অর্ডার অর্ডার-3079 চলছে।,"{'authorname': 'সৈয়দ শামসুল হক', 'bookname': 'আমি বীরাঙ্গনা বলছি', 'orderno': 'অর্ডার-3079'}"
অর্ডার নং অর্ডার-4016 এর জন্য টিআরএক্স-717877 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-4016', 'trnx': 'টিআরএক্স-717877'}"
গ্রাহক আইডি-82108 টিআরএক্স-606116 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-82108', 'trnx': 'টিআরএক্স-606116'}"
20/01/2024 থেকে বাংলা একাডেমী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '20/01/2024', 'publishername': 'বাংলা একাডেমী'}"
জামিল হোসেন সম্প্রতি দেয়াল বইটি কিনেছেন।,"{'username': 'জামিল হোসেন', 'bookname': 'দেয়াল'}"
গ্রাহক আইডি-75061 টিআরএক্স-813942 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-75061', 'trnx': 'টিআরএক্স-813942'}"
হুমায়ূন আহমেদ এর লেখা লাল সবুজ বইটি সময় প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'হুমায়ূন আহমেদ', 'bookname': 'লাল সবুজ', 'publishername': 'সময় প্রকাশন'}"
গ্রাহক আইডি-23886 টিআরএক্স-935240 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-23886', 'trnx': 'টিআরএক্স-935240'}"
"আমিনা খাতুন রামপুরা, ঢাকা থেকে টেলিভিশন কিনেছেন।","{'username': 'আমিনা খাতুন', 'address': 'রামপুরা, ঢাকা', 'productname': 'টেলিভিশন'}"
কাস্টমার আইডি আইডি-69161 এর ০১৯79870696 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-69161', 'phoneno': '০১৯79870696'}"
নলেজ হাউস থেকে উপন্যাস বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'নলেজ হাউস', 'categoryname': 'উপন্যাস'}"
সৈয়দ মুজতবা আলী এর লেখা নক্ষত্রের রাত বইটি পাঠক সমাবেশ থেকে প্রকাশিত হয়েছে।,"{'authorname': 'সৈয়দ মুজতবা আলী', 'bookname': 'নক্ষত্রের রাত', 'publishername': 'পাঠক সমাবেশ'}"
জামিল হোসেন সম্প্রতি লাল সবুজ বইটি কিনেছেন।,"{'username': 'জামিল হোসেন', 'bookname': 'লাল সবুজ'}"
"সাদিয়া আক্তার 22/10/2024 তারিখে উত্তরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'সাদিয়া আক্তার', 'date': '22/10/2024', 'address': 'উত্তরা, ঢাকা'}"
রহিম আহমেদ সম্প্রতি নক্ষত্রের রাত বইটি কিনেছেন।,"{'username': 'রহিম আহমেদ', 'bookname': 'নক্ষত্রের রাত'}"
"নাজমুল হক শান্তিনগর, ঢাকা থেকে এসি কিনেছেন।","{'username': 'নাজমুল হক', 'address': 'শান্তিনগর, ঢাকা', 'productname': 'এসি'}"
কাস্টমার আইডি আইডি-46949 এর ০১৩40321143 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-46949', 'phoneno': '০১৩40321143'}"
এলজি এর উপন্যাস পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'এলজি', 'categoryname': 'উপন্যাস'}"
10/08/2024 থেকে বাংলা একাডেমী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '10/08/2024', 'publishername': 'বাংলা একাডেমী'}"
"ফাতেমা বেগম 02/01/2024 তারিখে রামপুরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'ফাতেমা বেগম', 'date': '02/01/2024', 'address': 'রামপুরা, ঢাকা'}"
সাহিত্য প্রকাশ থেকে রোমাঞ্চ বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'সাহিত্য প্রকাশ', 'categoryname': 'রোমাঞ্চ'}"
30/04/2024 থেকে জ্ঞানকোষ প্রকাশনী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '30/04/2024', 'publishername': 'জ্ঞানকোষ প্রকাশনী'}"
কাস্টমার আইডি আইডি-51452 এর ০১৬24477476 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-51452', 'phoneno': '০১৬24477476'}"
অর্ডার নং অর্ডার-4401 এর জন্য টিআরএক্স-263859 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-4401', 'trnx': 'টিআরএক্স-263859'}"
ওয়ালটন এর নতুন স্মার্ট ফোন এর দাম জানতে ০১৭73279859 নম্বরে কল করুন।,"{'brandname': 'ওয়ালটন', 'productname': 'স্মার্ট ফোন', 'phoneno': '০১৭73279859'}"
"ফাতেমা বেগম শান্তিনগর, ঢাকা থেকে ট্যাবলেট কিনেছেন।","{'username': 'ফাতেমা বেগম', 'address': 'শান্তিনগর, ঢাকা', 'productname': 'ট্যাবলেট'}"
"সৈয়দ মুজতবা আলী এর ইতিহাস বইগুলি এখন গুলশান-২, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সৈয়দ মুজতবা আলী', 'categoryname': 'ইতিহাস', 'address': 'গুলশান-২, ঢাকা'}"
কাস্টমার আইডি আইডি-48838 এর ০১৪44318483 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-48838', 'phoneno': '০১৪44318483'}"
পাঠক সমাবেশ থেকে রোমাঞ্চ বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'পাঠক সমাবেশ', 'categoryname': 'রোমাঞ্চ'}"
গ্রাহক আইডি-32235 টিআরএক্স-803675 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-32235', 'trnx': 'টিআরএক্স-803675'}"
"সুফিয়া কামাল এর কবিতা বইগুলি এখন উত্তরা, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সুফিয়া কামাল', 'categoryname': 'কবিতা', 'address': 'উত্তরা, ঢাকা'}"
07/02/2024 থেকে মাওলা ব্রাদার্স এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '07/02/2024', 'publishername': 'মাওলা ব্রাদার্স'}"
গ্রাহক আইডি-90177 টিআরএক্স-876119 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-90177', 'trnx': 'টিআরএক্স-876119'}"
